Date (GMT),Rate**
Average,1.1307
23-Jun-15,1.1341
24-Jun-15,1.1169
25-Jun-15,1.1213
26-Jun-15,1.1206
27-Jun-15,1.1147
28-Jun-15,1.1167
29-Jun-15,1.1167
30-Jun-15,1.1256
1-Jul-15,1.1141
2-Jul-15,1.1064
3-Jul-15,1.1084
4-Jul-15,1.1095
5-Jul-15,1.1114
6-Jul-15,1.1114
7-Jul-15,1.1067
8-Jul-15,1.0962
9-Jul-15,1.105
10-Jul-15,1.0993
11-Jul-15,1.1131
12-Jul-15,1.1159
13-Jul-15,1.1159
14-Jul-15,1.1012
15-Jul-15,1.1009
16-Jul-15,1.0947
17-Jul-15,1.0882
18-Jul-15,1.0846
19-Jul-15,1.083
20-Jul-15,1.083
21-Jul-15,1.0842
22-Jul-15,1.0952
23-Jul-15,1.091
24-Jul-15,1.1015
25-Jul-15,1.0978
26-Jul-15,1.0974
27-Jul-15,1.0974
28-Jul-15,1.1108
29-Jul-15,1.1059
30-Jul-15,1.1046
31-Jul-15,1.0912
1-Aug-15,1.1005
2-Aug-15,1.0984
3-Aug-15,1.0984
4-Aug-15,1.0956
5-Aug-15,1.0919
6-Aug-15,1.0904
7-Aug-15,1.0924
8-Aug-15,1.0974
9-Aug-15,1.0969
10-Aug-15,1.0969
11-Aug-15,1.1021
12-Aug-15,1.1034
13-Aug-15,1.1171
14-Aug-15,1.1136
15-Aug-15,1.1116
16-Aug-15,1.1107
17-Aug-15,1.1107
18-Aug-15,1.1078
19-Aug-15,1.1024
20-Aug-15,1.1108
21-Aug-15,1.1189
22-Aug-15,1.1361
23-Aug-15,1.1388
24-Aug-15,1.1388
25-Aug-15,1.1558
26-Aug-15,1.1437
27-Aug-15,1.1366
28-Aug-15,1.1244
29-Aug-15,1.1205
30-Aug-15,1.1181
31-Aug-15,1.1181
1-Sep-15,1.1227
2-Sep-15,1.1311
3-Sep-15,1.1242
4-Sep-15,1.1132
5-Sep-15,1.1157
6-Sep-15,1.1147
7-Sep-15,1.1147
8-Sep-15,1.1171
9-Sep-15,1.1181
10-Sep-15,1.1165
11-Sep-15,1.1285
12-Sep-15,1.1344
