Code,Date,Weekly_Price
4503 金雨,10/27/2017,40
4503 金雨,11/3/2017,39.95
4503 金雨,11/10/2017,39.2
4503 金雨,11/17/2017,39.75
4503 金雨,11/24/2017,43.55
4503 金雨,12/1/2017,49.5
4503 金雨,12/8/2017,49.8
4503 金雨,12/15/2017,49.2
4503 金雨,12/22/2017,51.7
4503 金雨,12/29/2017,49.1
4503 金雨,1/5/2018,49.3
4503 金雨,1/12/2018,49
4503 金雨,1/19/2018,47.8
4503 金雨,1/26/2018,44.6
4503 金雨,2/2/2018,43.3
4503 金雨,2/9/2018,38.25
4503 金雨,2/12/2018,38.05
4503 金雨,2/23/2018,40.6
4503 金雨,3/2/2018,40
4503 金雨,3/9/2018,38.7
4503 金雨,3/16/2018,39.05
